ETFid,Mon_ud,Mon_cprice,Tue_ud,Tue_cprice,Wed_ud,Wed_cprice,Thu_ud,Thu_cprice,Fri_ud,Fri_cprice
600000,1,7.834509372711182,1,7.8621344566345215,1,7.875859260559082,1,7.904926300048828,1,7.958333969116211
600016,1,8.007625579833984,1,8.113054275512695,1,8.219646453857422,1,8.33545970916748,1,8.464394569396973
600019,1,7.8990044593811035,1,7.962469577789307,1,8.031519889831543,1,8.113484382629395,1,8.20654010772705
600028,1,7.955133438110352,1,8.058503150939941,1,8.147430419921875,1,8.253776550292969,1,8.38502025604248
600029,1,7.98558235168457,1,8.034440994262695,1,8.069783210754395,1,8.106353759765625,1,8.147245407104492
600030,1,8.005229949951172,1,8.106527328491211,1,8.205121040344238,1,8.317949295043945,1,8.453198432922363
600036,1,7.954045295715332,1,8.002123832702637,1,8.055680274963379,1,8.12198543548584,1,8.205001831054688
600048,1,7.96798849105835,1,8.035181999206543,1,8.096918106079102,1,8.161349296569824,1,8.232370376586914
600050,1,7.985081195831299,1,8.067983627319336,1,8.140213012695312,1,8.210793495178223,1,8.283735275268555
600104,1,8.103655815124512,1,8.284866333007812,1,8.432173728942871,1,8.580506324768066,1,8.744218826293945
600111,1,8.01069164276123,1,8.095870018005371,1,8.179433822631836,1,8.265583038330078,1,8.354507446289062
600276,1,7.829510688781738,1,7.873791217803955,1,7.909870624542236,1,7.941281795501709,1,7.969573020935059
600309,1,8.0841064453125,1,8.178104400634766,1,8.26704216003418,1,8.365764617919922,1,8.479203224182129
600340,1,7.820170879364014,1,7.858955383300781,1,7.914313316345215,1,7.981808185577393,1,8.058086395263672
600519,1,7.97859525680542,1,8.062658309936523,1,8.1329345703125,1,8.196243286132812,1,8.254599571228027
600547,1,7.997366428375244,1,8.103740692138672,1,8.232128143310547,1,8.383225440979004,1,8.55455207824707
600585,1,8.041966438293457,1,8.131884574890137,1,8.200738906860352,1,8.26838493347168,1,8.338479042053223
600606,1,8.093875885009766,1,8.237516403198242,1,8.365252494812012,1,8.501138687133789,1,8.651518821716309
600690,1,8.005280494689941,1,8.095800399780273,1,8.206474304199219,1,8.329360961914062,1,8.4612398147583
600703,1,7.9154181480407715,1,7.988997459411621,1,8.060528755187988,1,8.140753746032715,1,8.234227180480957
600887,1,8.037588119506836,1,8.12306022644043,1,8.209784507751465,1,8.315476417541504,1,8.445919036865234
600958,1,7.992007732391357,1,8.119223594665527,1,8.244565963745117,1,8.384066581726074,1,8.536832809448242
600999,1,8.012940406799316,1,8.157243728637695,1,8.312113761901855,1,8.487126350402832,1,8.687407493591309
601006,1,7.8203349113464355,1,7.863269805908203,1,7.89113712310791,1,7.940998077392578,1,8.024925231933594
601088,1,7.970028400421143,1,8.016953468322754,1,8.078255653381348,1,8.151727676391602,1,8.233321189880371
601166,1,7.933063507080078,1,8.09157943725586,1,8.227644920349121,1,8.367924690246582,1,8.515754699707031
601169,1,8.014366149902344,1,8.118868827819824,1,8.245603561401367,1,8.378951072692871,1,8.514019966125488
601186,1,7.952363014221191,1,8.0062837600708,1,8.038948059082031,1,8.083524703979492,1,8.153608322143555
601211,1,7.9784393310546875,1,8.041885375976562,1,8.05879020690918,1,8.08300495147705,1,8.133150100708008
601229,1,8.153438568115234,1,8.327431678771973,1,8.519852638244629,1,8.733156204223633,1,8.964604377746582
601288,1,7.947725296020508,1,8.040453910827637,1,8.151928901672363,1,8.278434753417969,1,8.414917945861816
601318,1,8.025336265563965,1,8.161815643310547,1,8.267224311828613,1,8.361351013183594,1,8.45384407043457
601328,1,8.129499435424805,1,8.271355628967285,1,8.414680480957031,1,8.5640230178833,1,8.720297813415527
601336,1,8.045722961425781,1,8.13805866241455,1,8.232101440429688,1,8.328073501586914,1,8.427653312683105
601360,1,7.933784484863281,1,8.02840805053711,1,8.119125366210938,1,8.205430030822754,1,8.283489227294922
601390,1,8.027726173400879,1,8.092528343200684,1,8.171416282653809,1,8.254443168640137,1,8.336006164550781
601398,1,8.063273429870605,1,8.14633846282959,1,8.234016418457031,1,8.328888893127441,1,8.43127155303955
601601,1,7.918065071105957,1,7.951735973358154,1,7.96036434173584,1,7.992895126342773,1,8.063287734985352
601628,1,7.990642070770264,1,8.066203117370605,1,8.141205787658691,1,8.215660095214844,1,8.289787292480469
601668,1,7.871037483215332,1,8.002898216247559,1,8.108672142028809,1,8.214653968811035,1,8.327128410339355
601688,1,7.959248065948486,1,8.042058944702148,1,8.136001586914062,1,8.244290351867676,1,8.36628532409668
601766,1,7.882845401763916,1,7.937278747558594,1,7.977377891540527,1,8.014120101928711,1,8.047444343566895
601800,1,7.99835729598999,1,8.081979751586914,1,8.163914680480957,1,8.257392883300781,1,8.366344451904297
601818,1,7.844019889831543,-1,7.806225776672363,-1,7.783571720123291,-1,7.775374412536621,1,7.783905506134033
601857,1,7.849763870239258,1,7.893239974975586,1,7.941394805908203,1,7.993846893310547,1,8.04973030090332
601878,1,7.964173316955566,1,8.057940483093262,1,8.150700569152832,1,8.261481285095215,1,8.394877433776855
601881,1,8.030318260192871,1,8.130963325500488,1,8.217199325561523,1,8.308279991149902,1,8.413326263427734
601988,1,8.021950721740723,1,8.162675857543945,1,8.328259468078613,1,8.50965404510498,1,8.70468807220459
601989,1,7.995562553405762,1,8.097288131713867,1,8.19080638885498,1,8.281893730163574,1,8.374438285827637
603993,1,7.814808368682861,-1,7.780767917633057,-1,7.776729583740234,1,7.784359931945801,1,7.794784069061279
