,date,open,close,high,low,volume,code
0,2015-01-05,15.288,15.815,15.982,15.093,131527.0,600276
1,2015-01-06,15.806,16.149,16.765,15.668,174777.0,600276
2,2015-01-07,16.133,15.986,16.271,15.778,71088.0,600276
3,2015-01-08,16.072,16.1,16.479,16.002,86168.0,600276
4,2015-01-09,16.178,15.986,16.651,15.957,124714.0,600276
5,2015-01-12,15.921,16.398,16.492,15.704,88035.0,600276
6,2015-01-13,16.32,16.414,16.798,16.32,68357.0,600276
7,2015-01-14,16.398,15.974,16.561,15.953,60988.0,600276
8,2015-01-15,15.986,15.904,16.231,15.688,72157.0,600276
9,2015-01-16,15.859,15.872,15.986,15.745,68470.0,600276
10,2015-01-19,15.704,15.908,16.475,15.57,123324.0,600276
11,2015-01-20,15.766,16.067,16.194,15.725,93546.0,600276
12,2015-01-21,16.133,16.63,16.724,16.112,118751.0,600276
13,2015-01-22,16.643,17.12,17.369,16.643,150925.0,600276
14,2015-01-23,17.21,17.075,17.336,16.92,71140.0,600276
15,2015-01-26,17.083,17.312,17.499,17.071,87431.0,600276
16,2015-01-27,17.287,17.189,17.54,17.042,68627.0,600276
17,2015-01-28,17.055,16.785,17.275,16.724,53130.0,600276
18,2015-01-29,16.663,16.639,16.847,16.439,56325.0,600276
19,2015-01-30,16.712,16.606,16.879,16.398,44025.0,600276
20,2015-02-02,16.439,17.136,17.206,16.439,93159.0,600276
21,2015-02-03,17.336,16.896,17.369,16.806,60246.0,600276
22,2015-02-04,16.94,16.634,17.002,16.606,38151.0,600276
23,2015-02-05,16.724,16.365,16.838,16.316,54659.0,600276
24,2015-02-06,16.357,16.398,16.716,16.296,51956.0,600276
25,2015-02-09,16.643,16.659,16.806,16.357,51478.0,600276
26,2015-02-10,16.659,16.663,16.969,16.52,73303.0,600276
27,2015-02-11,16.683,16.802,16.908,16.606,33926.0,600276
28,2015-02-12,16.814,16.859,16.908,16.573,33091.0,600276
29,2015-02-13,16.936,16.545,16.965,16.406,67901.0,600276
30,2015-02-16,16.553,16.81,16.969,16.398,59261.0,600276
31,2015-02-17,16.867,16.871,17.01,16.834,34528.0,600276
32,2015-02-25,16.871,16.59,16.879,16.5,50338.0,600276
33,2015-02-26,16.561,16.643,16.692,16.439,41343.0,600276
34,2015-02-27,16.683,16.463,16.696,16.439,55175.0,600276
35,2015-03-02,16.516,16.316,16.524,16.194,106514.0,600276
36,2015-03-03,16.398,16.357,16.602,16.28,115558.0,600276
37,2015-03-04,16.516,17.067,17.132,16.402,164683.0,600276
38,2015-03-05,16.928,17.463,17.715,16.855,154821.0,600276
39,2015-03-06,17.499,17.267,17.556,17.055,62558.0,600276
40,2015-03-09,17.014,17.352,17.524,16.879,94067.0,600276
41,2015-03-10,17.222,17.556,17.683,17.222,63622.0,600276
42,2015-03-11,17.622,17.789,17.94,17.418,74625.0,600276
43,2015-03-12,17.797,17.532,18.078,17.507,62819.0,600276
44,2015-03-13,17.254,17.479,17.613,17.152,61015.0,600276
45,2015-03-16,17.479,17.532,17.724,17.165,107696.0,600276
46,2015-03-17,17.491,17.287,17.703,17.132,148943.0,600276
47,2015-03-18,17.283,17.54,17.548,17.091,118060.0,600276
48,2015-03-19,17.536,17.242,17.536,17.116,103540.0,600276
49,2015-03-20,17.222,17.985,17.989,16.961,219913.0,600276
50,2015-03-23,18.005,18.034,18.519,17.985,120276.0,600276
51,2015-03-24,17.96,17.83,18.005,17.458,151668.0,600276
52,2015-03-25,17.662,18.433,18.543,17.626,169116.0,600276
53,2015-03-26,18.352,18.446,18.727,18.152,93092.0,600276
54,2015-03-27,18.446,18.144,18.45,17.899,79923.76,600276
55,2015-03-30,18.152,18.413,18.56,17.907,90677.0,600276
56,2015-03-31,18.682,18.805,19.286,18.295,162635.0,600276
57,2015-04-01,18.8,19.771,20.061,18.756,153760.0,600276
58,2015-04-02,19.775,19.759,20.151,19.416,107436.0,600276
59,2015-04-03,19.612,19.89,19.926,19.441,79507.0,600276
60,2015-04-07,20.069,20.028,20.187,19.714,118820.0,600276
61,2015-04-08,20.032,20.102,20.55,19.906,168239.0,600276
62,2015-04-09,20.02,20.138,20.395,19.408,125707.0,600276
63,2015-04-10,20.11,20.881,21.089,19.987,123519.0,600276
64,2015-04-13,20.803,21.843,22.463,20.803,199340.0,600276
65,2015-04-14,21.852,21.635,22.659,21.374,113408.0,600276
66,2015-04-15,21.635,22.255,22.843,21.419,121393.0,600276
67,2015-04-16,22.435,22.476,24.054,22.068,176973.0,600276
68,2015-04-17,22.476,22.227,23.071,21.864,190268.0,600276
69,2015-04-20,23.047,21.933,23.655,21.827,166788.0,600276
70,2015-04-21,22.304,23.071,23.128,22.027,174696.0,600276
71,2015-04-22,23.157,23.736,24.344,23.157,153528.0,600276
72,2015-04-23,24.099,23.463,24.103,23.214,120616.0,600276
73,2015-04-24,23.047,23.234,23.736,22.769,133120.0,600276
74,2015-04-27,23.304,23.34,23.773,22.818,155409.0,600276
75,2015-04-28,22.904,22.647,23.251,22.639,128660.0,600276
76,2015-04-29,22.639,23.108,23.194,22.639,89391.0,600276
77,2015-04-30,23.251,23.255,23.491,23.108,95306.0,600276
78,2015-05-04,23.312,22.769,23.369,22.68,81235.0,600276
79,2015-05-05,22.839,23.218,23.614,22.769,133515.0,600276
80,2015-05-06,23.251,23.508,24.189,23.251,137210.0,600276
81,2015-05-07,23.381,23.03,23.659,22.843,80194.0,600276
82,2015-05-08,23.006,23.128,23.206,22.68,97562.0,600276
83,2015-05-11,23.128,23.699,23.875,22.639,178250.0,600276
84,2015-05-12,23.74,24.132,24.181,23.61,164513.0,600276
85,2015-05-13,24.148,23.748,24.621,23.622,120258.0,600276
86,2015-05-14,23.536,23.557,24.018,23.324,109826.0,600276
87,2015-05-15,23.577,22.867,23.691,22.684,109113.0,600276
88,2015-05-18,22.835,22.769,23.039,22.321,117041.0,600276
89,2015-05-19,22.753,23.128,23.243,22.272,140112.0,600276
90,2015-05-20,23.149,23.479,23.65,22.843,176415.0,600276
91,2015-05-21,23.495,24.319,24.336,23.251,174261.0,600276
92,2015-05-22,24.678,24.413,24.968,24.067,140926.0,600276
93,2015-05-25,24.311,24.601,24.752,23.936,210032.0,600276
94,2015-05-26,24.617,26.077,26.538,24.372,281208.0,600276
95,2015-05-27,25.902,27.432,27.77,25.453,234610.0,600276
96,2015-05-28,27.126,24.813,27.534,24.711,184155.0,600276
97,2015-05-29,24.87,25.596,26.171,24.483,173327.0,600276
98,2015-06-01,25.82,26.685,26.73,25.409,163013.0,600276
99,2015-06-02,26.697,26.151,26.759,25.494,181711.0,600276
100,2015-06-03,26.163,25.147,26.167,25.013,160489.0,600276
101,2015-06-04,25.282,24.197,25.372,23.075,217305.0,600276
102,2015-06-05,24.662,24.87,25.29,24.425,169864.0,600276
103,2015-06-08,24.87,24.222,24.87,23.703,186350.0,600276
104,2015-06-09,24.478,24.234,25.192,23.985,177912.0,600276
105,2015-06-10,24.23,24.956,25.241,24.022,165577.0,600276
106,2015-06-11,24.976,25.49,25.678,24.585,182377.0,600276
107,2015-06-12,25.49,25.482,25.69,24.903,138584.0,600276
108,2015-06-15,25.595,24.411,25.866,24.299,141146.0,600276
109,2015-06-16,23.927,23.216,24.485,22.955,180381.0,600276
110,2015-06-17,23.375,23.646,23.826,23.21,172665.0,600276
111,2015-06-18,23.375,22.748,23.603,22.626,157865.0,600276
112,2015-06-19,22.732,22.249,23.29,22.201,167177.0,600276
113,2015-06-23,22.307,24.044,24.166,21.511,235066.0,600276
114,2015-06-24,23.593,23.986,24.273,23.423,176905.0,600276
115,2015-06-25,23.98,22.589,23.98,22.483,130787.0,600276
116,2015-06-26,22.313,21.272,22.669,20.661,198836.0,600276
117,2015-06-29,21.776,21.851,22.525,20.225,327163.0,600276
118,2015-06-30,21.67,23.656,24.034,21.245,331935.0,600276
119,2015-07-01,23.741,23.773,24.83,23.619,323867.0,600276
120,2015-07-02,24.166,23.439,24.671,22.844,246460.0,600276
121,2015-07-03,23.895,22.122,24.246,21.102,353839.0,600276
122,2015-07-06,24.14,23.125,24.14,20.183,379693.0,600276
123,2015-07-07,22.307,22.111,23.625,21.001,413370.0,600276
124,2015-07-08,19.901,19.901,19.901,19.901,302000.0,600276
125,2015-07-09,19.901,21.893,21.893,18.308,512450.0,600276
126,2015-07-10,23.662,24.081,24.081,22.515,345491.0,600276
127,2015-07-13,24.113,25.441,25.606,23.646,523467.0,600276
128,2015-07-14,24.74,24.384,25.669,24.273,324676.0,600276
129,2015-07-15,23.848,22.376,23.996,22.281,220825.0,600276
130,2015-07-16,22.376,23.46,23.864,22.376,198110.0,600276
131,2015-07-17,23.694,24.607,24.952,23.635,170683.0,600276
132,2015-07-20,24.607,24.31,24.963,23.81,153090.0,600276
133,2015-07-21,23.763,24.081,24.32,23.508,108414.0,600276
134,2015-07-22,24.081,24.395,24.857,23.933,156185.0,600276
135,2015-07-23,24.326,24.496,24.697,23.954,155499.0,600276
136,2015-07-24,24.496,23.678,24.687,23.603,155092.0,600276
137,2015-07-27,23.104,21.5,23.354,21.431,183782.0,600276
138,2015-07-28,21.07,23.014,23.216,19.917,356490.0,600276
139,2015-07-29,22.918,23.895,24.076,22.361,196092.0,600276
140,2015-07-30,23.688,22.738,24.108,22.615,128956.0,600276
141,2015-07-31,22.998,23.864,24.14,22.998,195056.0,600276
142,2015-08-03,23.731,25.186,25.197,23.386,306757.0,600276
143,2015-08-04,25.165,25.441,25.839,24.708,203740.0,600276
144,2015-08-05,25.446,24.894,25.627,24.421,110602.0,600276
145,2015-08-06,24.512,24.782,25.356,24.437,78780.0,600276
146,2015-08-07,24.963,24.841,25.308,24.65,88402.0,600276
147,2015-08-10,24.857,26.487,26.556,24.703,199354.0,600276
148,2015-08-11,26.429,25.717,26.429,25.335,182318.0,600276
149,2015-08-12,25.34,24.942,25.802,24.899,121750.0,600276
150,2015-08-13,24.862,24.963,25.175,24.485,89229.0,600276
151,2015-08-14,25.112,24.889,25.314,24.793,96512.0,600276
152,2015-08-17,24.453,25.197,25.361,24.262,98344.0,600276
153,2015-08-18,25.255,24.628,25.393,23.678,144237.0,600276
154,2015-08-19,24.172,25.303,25.34,23.996,157604.0,600276
155,2015-08-20,24.963,24.352,25.048,24.315,104042.0,600276
156,2015-08-21,24.172,23.205,24.273,23.131,164155.0,600276
157,2015-08-24,22.307,21.049,22.785,20.884,288110.0,600276
158,2015-08-25,20.454,21.235,22.626,20.448,207490.0,600276
159,2015-08-26,21.755,22.722,22.945,21.288,169872.0,600276
160,2015-08-27,22.892,23.168,23.343,22.063,169390.0,600276
161,2015-08-28,22.881,23.609,23.784,22.743,126424.0,600276
162,2015-08-31,23.21,23.582,23.954,22.839,101852.0,600276
163,2015-09-01,23.37,22.578,23.37,22.201,111363.0,600276
164,2015-09-02,22.307,22.26,23.03,21.856,108028.0,600276
165,2015-09-07,22.908,23.481,24.166,22.408,174262.0,600276
166,2015-09-08,23.359,25.51,25.643,23.104,202670.0,600276
167,2015-09-09,25.489,24.517,26.28,24.193,357899.0,600276
168,2015-09-10,24.113,24.857,25.361,23.901,170694.0,600276
169,2015-09-11,24.703,24.225,25.016,23.959,111254.0,600276
170,2015-09-14,24.368,24.655,24.947,23.795,190760.0,600276
171,2015-09-15,24.166,23.556,24.485,23.534,81590.0,600276
172,2015-09-16,23.789,24.968,25.494,23.263,137424.0,600276
173,2015-09-17,24.697,24.097,24.963,24.087,122034.0,600276
174,2015-09-18,24.273,24.14,24.373,23.667,67185.0,600276
175,2015-09-21,23.901,24.469,24.522,23.741,91423.0,600276
176,2015-09-22,24.432,24.342,24.947,24.273,84825.0,600276
177,2015-09-23,24.166,24.071,24.294,23.837,47967.0,600276
178,2015-09-24,24.166,24.841,24.878,23.949,99175.0,600276
179,2015-09-25,24.591,24.49,25.377,24.342,98793.0,600276
180,2015-09-28,24.639,25.069,25.144,24.326,76917.0,600276
181,2015-09-29,24.82,24.809,25.505,24.591,82688.0,600276
182,2015-09-30,24.836,24.533,25.053,24.506,61820.0,600276
183,2015-10-08,25.229,25.494,25.76,24.899,125431.0,600276
184,2015-10-09,25.345,25.6,25.919,25.255,60323.0,600276
185,2015-10-12,25.526,25.547,26.663,25.308,346343.0,600276
186,2015-10-13,25.282,24.963,25.43,24.735,157616.0,600276
187,2015-10-14,24.963,24.905,25.069,24.708,78483.0,600276
188,2015-10-15,24.899,25.106,25.16,24.697,88705.0,600276
189,2015-10-16,25.154,24.99,25.356,24.788,98418.0,600276
190,2015-10-19,24.974,25.845,25.956,24.756,160595.0,600276
191,2015-10-20,25.845,25.861,26.11,25.499,127249.0,600276
192,2015-10-21,26.02,25.314,26.758,25.26,202169.0,600276
193,2015-10-22,25.282,25.93,26.126,25.229,116785.0,600276
194,2015-10-23,26.1,26.015,26.7,25.494,201829.0,600276
195,2015-10-26,26.445,27.592,27.624,26.057,239649.0,600276
196,2015-10-27,27.353,27.327,27.528,26.583,165683.0,600276
197,2015-10-28,27.088,27.55,28.325,26.955,164977.0,600276
198,2015-10-29,27.778,28.394,28.447,27.3,126272.0,600276
199,2015-10-30,28.362,27.911,28.729,27.884,103303.0,600276
200,2015-11-02,27.459,27.358,28.309,27.194,116878.0,600276
201,2015-11-03,27.518,27.077,27.858,26.981,101033.0,600276
202,2015-11-04,27.093,28.07,28.091,27.088,114971.0,600276
203,2015-11-05,28.102,27.73,28.309,27.619,128810.0,600276
204,2015-11-06,27.725,27.342,27.884,27.024,235861.0,600276
205,2015-11-09,27.311,27.263,27.72,27.098,156999.0,600276
206,2015-11-10,27.279,25.988,27.81,25.547,228061.0,600276
207,2015-11-11,26.928,27.263,27.3,26.482,221545.0,600276
208,2015-11-12,27.194,27.173,27.353,26.631,138826.0,600276
209,2015-11-13,26.939,26.779,27.056,26.615,85764.0,600276
210,2015-11-16,26.562,27.337,27.348,26.477,92638.0,600276
211,2015-11-17,27.348,27.449,27.576,27.194,115320.0,600276
212,2015-11-18,27.449,27.13,27.486,27.045,68470.0,600276
213,2015-11-19,27.13,27.258,27.502,27.045,49008.0,600276
214,2015-11-20,27.289,27.061,27.295,26.827,78756.0,600276
215,2015-11-23,27.088,26.764,27.194,26.604,86244.0,600276
216,2015-11-24,26.732,26.934,27.034,26.344,68088.0,600276
217,2015-11-25,26.875,26.673,26.875,26.493,71634.0,600276
218,2015-11-26,26.679,26.843,26.971,26.397,107838.0,600276
219,2015-11-27,26.61,26.254,26.689,26.11,83755.0,600276
220,2015-11-30,26.254,26.28,26.397,25.871,84898.0,600276
221,2015-12-01,26.137,26.753,26.838,26.078,49413.0,600276
222,2015-12-02,26.769,27.056,27.183,26.604,71439.0,600276
223,2015-12-03,27.008,27.098,27.157,26.721,73507.0,600276
224,2015-12-04,26.971,27.173,27.295,26.864,55388.0,600276
225,2015-12-07,27.045,27.364,27.417,26.88,64224.0,600276
226,2015-12-08,27.194,26.663,27.38,26.556,54871.0,600276
227,2015-12-09,26.556,26.562,26.822,26.44,57508.0,600276
228,2015-12-10,26.562,26.556,26.663,26.344,56263.0,600276
229,2015-12-11,26.397,26.36,26.822,26.238,51984.0,600276
230,2015-12-14,26.227,26.052,26.264,25.882,122460.0,600276
231,2015-12-15,26.078,26.44,26.61,26.02,68415.0,600276
232,2015-12-16,26.291,26.333,26.498,26.28,42083.0,600276
233,2015-12-17,26.397,26.493,26.663,26.344,58917.0,600276
234,2015-12-18,26.461,26.418,26.636,26.19,47273.0,600276
235,2015-12-21,26.349,27.098,27.305,26.185,131212.0,600276
236,2015-12-22,27.088,26.87,27.088,26.705,59660.0,600276
237,2015-12-23,26.875,26.806,27.157,26.774,70543.0,600276
238,2015-12-24,26.822,26.477,26.923,26.317,47299.0,600276
239,2015-12-25,26.482,26.217,26.599,26.158,55183.0,600276
240,2015-12-28,26.291,25.983,26.291,25.866,90194.0,600276
241,2015-12-29,25.919,26.254,26.317,25.919,44599.0,600276
242,2015-12-30,26.185,25.962,26.307,25.654,93190.0,600276
243,2015-12-31,25.962,26.089,26.333,25.866,81922.0,600276
244,2016-01-04,26.078,25.016,26.078,25.006,86744.0,600276
245,2016-01-05,24.697,25.26,25.494,24.671,95328.0,600276
246,2016-01-06,25.26,25.77,25.962,25.175,86670.0,600276
247,2016-01-07,25.627,24.533,25.627,24.246,15488.0,600276
248,2016-01-08,25.122,25.308,25.489,24.432,112455.0,600276
249,2016-01-11,25.308,24.193,25.478,24.177,69613.0,600276
250,2016-01-12,24.427,23.922,24.57,23.317,89419.0,600276
251,2016-01-13,23.954,23.338,24.326,23.317,66595.0,600276
252,2016-01-14,22.897,23.54,23.837,22.573,93403.0,600276
253,2016-01-15,23.465,22.849,23.625,22.669,61851.0,600276
254,2016-01-18,22.833,23.04,23.131,22.302,94166.0,600276
255,2016-01-19,22.966,23.545,23.635,22.732,55823.0,600276
256,2016-01-20,23.598,23.54,23.71,23.115,39341.0,600276
257,2016-01-21,23.317,22.78,23.635,22.759,35315.0,600276
258,2016-01-22,22.993,23.008,23.099,22.828,39782.0,600276
259,2016-01-25,22.934,23.354,23.683,22.934,52165.0,600276
260,2016-01-26,23.311,22.791,23.795,22.472,95603.0,600276
261,2016-01-27,22.679,23.024,23.189,22.164,70181.0,600276
262,2016-01-28,22.844,22.61,23.391,22.589,63235.0,600276
263,2016-01-29,22.679,23.37,23.577,22.653,55463.0,600276
264,2016-02-01,23.348,23.726,24.034,23.221,53689.0,600276
265,2016-02-02,23.837,23.869,24.113,23.688,33837.0,600276
266,2016-02-03,23.694,24.432,24.644,23.577,58671.0,600276
267,2016-02-04,24.336,24.315,24.57,24.007,44352.0,600276
268,2016-02-05,24.32,24.039,24.379,23.821,31637.0,600276
269,2016-02-15,23.795,24.092,24.432,23.635,30503.0,600276
270,2016-02-16,24.219,24.464,24.533,24.092,49445.0,600276
271,2016-02-17,24.432,24.177,24.586,23.651,67258.0,600276
272,2016-02-18,24.14,23.853,24.235,23.768,45708.0,600276
273,2016-02-19,23.901,24.182,24.219,23.816,55641.0,600276
274,2016-02-22,24.581,24.565,24.889,24.336,96079.0,600276
275,2016-02-23,24.496,24.798,24.809,24.289,48928.0,600276
276,2016-02-24,24.804,24.936,25.16,24.692,97056.0,600276
277,2016-02-25,24.952,24.251,24.958,23.98,78693.0,600276
278,2016-02-26,24.278,24.432,24.618,24.166,54757.0,600276
279,2016-02-29,24.427,23.885,24.427,23.343,81485.0,600276
280,2016-03-01,23.736,23.763,24.007,23.402,49761.0,600276
281,2016-03-02,23.688,24.368,24.432,23.688,69259.0,600276
282,2016-03-03,24.283,24.804,24.841,24.273,59698.0,600276
283,2016-03-04,24.697,25.213,25.648,24.49,172106.0,600276
284,2016-03-07,25.122,25.34,25.441,24.995,55310.0,600276
285,2016-03-08,25.154,25.314,25.324,24.591,51104.0,600276
