,date,open,close,high,low,volume,code
0,2015-01-05,9.165,9.374,9.553,8.926,8372029.0,601989
1,2015-01-06,9.255,9.603,9.862,9.105,8685576.0,601989
2,2015-01-07,9.543,9.523,9.712,9.384,4574565.0,601989
3,2015-01-08,9.414,9.105,9.653,9.085,4565334.0,601989
4,2015-01-09,8.956,8.817,9.294,8.807,5094979.0,601989
5,2015-01-12,8.777,8.448,8.807,8.389,3889857.0,601989
6,2015-01-13,8.448,8.628,8.896,8.439,3309238.0,601989
7,2015-01-14,8.618,8.717,8.837,8.558,2742281.0,601989
8,2015-01-15,8.747,8.817,8.837,8.608,3960388.0,601989
9,2015-01-16,8.886,9.046,9.065,8.727,6187739.0,601989
10,2015-01-19,8.419,8.14,8.827,8.14,6118267.0,601989
11,2015-01-20,8.14,8.08,8.309,8.011,4800475.0,601989
12,2015-01-21,8.11,8.488,8.508,8.06,5228812.0,601989
13,2015-01-22,8.439,9.075,9.334,8.259,9012999.0,601989
14,2015-01-23,8.956,8.817,9.185,8.717,7516361.0,601989
15,2015-01-26,8.966,9.165,9.255,8.837,7389959.0,601989
16,2015-01-27,9.235,9.404,9.603,9.065,9595938.0,601989
17,2015-01-28,9.404,9.125,9.523,9.056,6708418.0,601989
18,2015-01-29,8.956,8.906,9.105,8.866,3445325.0,601989
19,2015-01-30,9.006,8.628,9.046,8.558,4369761.0,601989
20,2015-02-02,8.856,8.598,8.926,8.488,4063992.0,601989
21,2015-02-03,8.677,8.608,8.707,8.419,3737746.0,601989
22,2015-02-04,8.648,8.638,8.886,8.588,4315869.0,601989
23,2015-02-05,8.727,8.389,8.747,8.369,4553066.0,601989
24,2015-02-06,8.259,8.1,8.349,8.05,3205198.0,601989
25,2015-02-09,8.11,8.15,8.279,8.07,2113544.0,601989
26,2015-02-10,8.16,8.279,8.289,8.13,1870106.0,601989
27,2015-02-11,8.329,8.309,8.409,8.259,1814742.0,601989
28,2015-02-12,8.299,8.24,8.329,8.14,1760538.0,601989
29,2015-02-13,8.309,8.568,8.697,8.259,5162742.0,601989
30,2015-02-16,8.608,8.747,8.856,8.468,3940508.0,601989
31,2015-02-17,8.757,8.687,8.866,8.657,2922517.0,601989
32,2015-02-25,8.737,8.608,8.827,8.578,2926449.0,601989
33,2015-02-26,8.618,8.916,8.936,8.478,5656894.0,601989
34,2015-02-27,8.936,8.916,9.334,8.866,6795342.0,601989
35,2015-03-02,8.946,8.896,8.956,8.777,4078125.0,601989
36,2015-03-03,8.866,8.727,8.916,8.687,4432922.0,601989
37,2015-03-04,8.807,8.687,8.856,8.598,3727988.0,601989
38,2015-03-05,8.707,8.558,8.717,8.448,3405010.0,601989
39,2015-03-06,8.538,8.568,8.737,8.508,2621355.0,601989
40,2015-03-09,8.508,8.747,8.807,8.24,6267476.0,601989
41,2015-03-10,8.667,8.618,8.737,8.578,3115607.0,601989
42,2015-03-11,8.618,8.558,8.677,8.528,2665204.0,601989
43,2015-03-12,8.608,8.588,8.648,8.468,2493911.0,601989
44,2015-03-13,8.638,8.608,8.657,8.568,2605795.0,601989
45,2015-03-16,8.648,8.827,8.837,8.578,5053394.0,601989
46,2015-03-17,8.837,9.006,9.095,8.807,7725802.0,601989
47,2015-03-18,9.036,9.125,9.225,8.926,6968012.0,601989
48,2015-03-19,9.155,9.255,9.414,9.026,8370855.0,601989
49,2015-03-20,9.255,9.354,9.404,9.075,7854006.0,601989
50,2015-03-23,9.354,9.344,9.434,9.284,6269670.0,601989
51,2015-03-24,9.344,9.274,9.493,9.046,8064681.0,601989
52,2015-03-25,9.334,9.444,9.533,9.105,8617687.0,601989
53,2015-03-26,9.842,10.389,10.389,9.842,14395777.0,601989
54,2015-03-27,10.687,10.19,10.837,10.17,15142123.78,601989
55,2015-03-30,9.951,10.309,10.479,9.762,12961517.0,601989
56,2015-03-31,10.329,9.991,10.329,9.921,8594812.0,601989
57,2015-04-01,9.901,10.061,10.18,9.881,5898857.0,601989
58,2015-04-02,10.071,9.961,10.1,9.862,5626676.0,601989
59,2015-04-03,9.971,10.16,10.24,9.872,8039954.0,601989
60,2015-04-07,10.2,10.309,10.449,10.09,7540839.0,601989
61,2015-04-08,10.349,10.2,10.369,10.031,6561638.0,601989
62,2015-04-09,10.2,9.941,10.22,9.852,5886409.0,601989
63,2015-04-10,9.941,10.14,10.22,9.891,5740473.0,601989
64,2015-04-13,10.2,10.27,10.349,10.061,7067952.0,601989
65,2015-04-14,10.23,11.275,11.295,10.12,14999314.0,601989
66,2015-04-15,11.006,10.827,11.195,10.757,9496114.0,601989
67,2015-04-16,10.777,11.822,11.911,10.628,15040213.0,601989
68,2015-04-17,12.021,13.006,13.006,11.941,13138074.0,601989
69,2015-04-20,13.733,13.951,14.31,13.006,21078386.0,601989
70,2015-04-21,14.011,13.474,14.479,12.837,17559473.0,601989
71,2015-04-22,13.344,14.2,14.807,13.175,14659645.0,601989
72,2015-04-23,14.18,14.111,14.429,13.782,10583193.0,601989
73,2015-04-24,13.832,14.011,14.409,13.633,10585318.0,601989
74,2015-04-27,14.131,15.255,15.374,14.131,14601545.0,601989
75,2015-04-28,14.728,15.116,16.101,14.678,14717478.0,601989
76,2015-04-29,14.907,14.469,14.917,14.041,8521146.0,601989
77,2015-04-30,14.419,14.489,15.116,14.25,6818341.0,601989
78,2015-05-04,14.509,15.942,15.942,14.379,13208511.0,601989
79,2015-05-05,16.19,15.942,16.519,15.225,14871572.0,601989
80,2015-05-06,15.942,14.718,16.171,14.349,10405753.0,601989
81,2015-05-07,14.23,13.265,14.548,13.245,8613745.0,601989
82,2015-05-08,13.325,13.663,13.782,12.787,8276521.0,601989
83,2015-05-11,13.832,14.001,14.131,13.295,8128022.0,601989
84,2015-05-12,13.951,15.046,15.305,13.752,10147400.0,601989
85,2015-05-13,14.927,14.459,15.623,14.349,9517263.0,601989
86,2015-05-14,14.22,14.091,14.459,13.832,5919350.0,601989
87,2015-05-15,14.111,14.26,14.708,13.941,6484433.0,601989
88,2015-05-18,14.25,13.941,14.628,13.932,6388324.0,601989
