,date,open,close,high,low,volume,code
0,2015-01-05,48.782,48.065,50.332,47.523,513572.0,601336
1,2015-01-06,47.067,45.721,47.561,45.013,418042.0,601336
2,2015-01-07,45.517,46.186,47.581,45.246,282551.0,601336
3,2015-01-08,46.777,43.928,47.183,43.502,392788.0,601336
4,2015-01-09,43.918,45.352,48.317,43.599,733923.0,601336
5,2015-01-12,43.889,45.323,45.924,43.579,444191.0,601336
6,2015-01-13,45.197,44.083,45.517,44.015,285278.0,601336
7,2015-01-14,44.461,43.909,44.839,43.356,241667.0,601336
8,2015-01-15,44.539,48.298,48.298,44.296,636266.0,601336
9,2015-01-16,49.799,51.001,52.987,49.015,922923.0,601336
10,2015-03-02,49.073,49.673,49.887,46.99,1112678.0,601336
11,2015-03-03,48.753,48.656,49.596,48.336,510087.0,601336
12,2015-03-04,48.588,47.997,48.734,47.619,342486.0,601336
13,2015-03-05,47.445,48.443,49.596,47.242,429372.0,601336
14,2015-03-06,48.21,45.711,48.588,45.343,343310.0,601336
15,2015-03-09,44.568,46.883,47.464,42.63,563102.0,601336
16,2015-03-10,45.866,45.527,46.021,45.052,265905.0,601336
17,2015-03-11,45.536,46.912,49.102,45.536,473443.0,601336
18,2015-03-12,47.668,51.282,51.601,46.815,766750.0,601336
19,2015-03-13,51.35,50.284,51.786,49.47,530890.0,601336
20,2015-03-16,50.09,54.353,54.731,49.615,593408.0,601336
21,2015-03-17,54.547,54.062,55.613,53.307,490456.0,601336
22,2015-03-18,54.043,55.041,55.07,53.094,406943.0,601336
23,2015-03-19,54.256,52.89,54.518,52.183,416720.0,601336
24,2015-03-20,53.578,53.094,55.709,52.096,587103.0,601336
25,2015-03-23,52.832,53.413,54.208,52.328,374712.0,601336
26,2015-03-24,53.481,54.624,55.806,52.9,534503.0,601336
27,2015-03-25,54.547,52.348,54.547,51.834,490350.0,601336
28,2015-03-26,50.381,51.233,53.578,49.809,522379.0,601336
29,2015-03-27,50.768,50.536,51.224,49.974,275325.28,601336
30,2015-03-30,50.943,52.357,52.503,50.042,445882.0,601336
31,2015-03-31,53.772,51.359,54.789,51.136,510126.0,601336
32,2015-04-01,52.444,52.192,53.278,51.834,382494.0,601336
33,2015-04-02,52.793,51.815,52.793,51.359,287994.0,601336
34,2015-04-03,51.408,53.142,53.268,51.253,424164.0,601336
35,2015-04-07,53.471,53.917,53.966,52.435,493764.0,601336
36,2015-04-08,53.723,55.341,56.659,52.803,798106.0,601336
37,2015-04-09,56.194,54.876,58.17,54.256,663016.0,601336
38,2015-04-10,54.741,56.078,56.514,54.45,421192.0,601336
39,2015-04-13,56.969,55.157,56.969,54.595,465464.0,601336
40,2015-04-14,54.45,53.355,54.45,52.803,420679.0,601336
41,2015-04-15,53.481,52.067,54.101,52.028,347418.0,601336
42,2015-04-16,51.359,53.733,53.772,51.04,371111.0,601336
43,2015-04-17,54.595,53.655,54.837,53.219,427463.0,601336
44,2015-04-20,54.159,50.962,54.159,50.361,378949.0,601336
45,2015-04-21,50.952,52.309,52.9,50.952,293991.0,601336
46,2015-04-22,52.619,54.489,54.741,52.328,464386.0,601336
47,2015-04-23,54.489,53.433,54.741,53.074,316425.0,601336
48,2015-04-24,52.512,51.311,52.512,50.39,396671.0,601336
49,2015-04-27,51.321,51.844,52.27,51.136,322075.0,601336
50,2015-04-28,51.64,52.028,52.9,50.41,455724.0,601336
51,2015-04-29,52.212,51.311,52.212,49.121,294989.0,601336
52,2015-04-30,52.706,52.154,53.772,51.834,578429.0,601336
53,2015-05-04,52.144,57.366,57.366,51.33,817888.0,601336
54,2015-05-05,58.228,58.151,59.943,55.322,989765.0,601336
55,2015-05-06,58.713,62.501,63.964,58.132,1126405.0,601336
56,2015-05-07,60.069,60.244,63.896,59.585,749870.0,601336
57,2015-05-08,61.019,58.916,61.251,57.046,720875.0,601336
58,2015-05-11,58.955,63.586,64.807,57.376,1075502.0,601336
59,2015-05-12,62.521,62.404,64.313,61.435,711844.0,601336
60,2015-05-13,61.9,60.767,63.935,59.876,568542.0,601336
61,2015-05-14,60.263,61.406,64.148,59.972,592477.0,601336
62,2015-05-15,60.215,58.422,60.36,58.044,458522.0,601336
63,2015-05-18,57.163,57.221,58.975,56.669,364780.0,601336
64,2015-05-19,56.843,60.118,62.152,56.843,641501.0,601336
65,2015-05-20,60.36,59.556,61.377,58.878,454523.0,601336
66,2015-05-21,59.081,59.682,60.505,58.432,350949.0,601336
67,2015-05-22,60.069,63.528,64.168,60.069,690995.0,601336
68,2015-05-25,64.284,65.35,66.357,63.267,626281.0,601336
69,2015-05-26,65.979,64.981,66.222,63.441,423589.0,601336
70,2015-05-27,64.855,63.499,64.875,62.86,351239.0,601336
71,2015-05-28,63.073,57.734,63.954,57.289,514722.0,601336
72,2015-05-29,58.287,56.979,58.577,55.806,432247.0,601336
73,2015-06-01,56.485,60.079,60.408,56.0,424747.0,601336
74,2015-06-02,59.682,59.517,59.682,58.277,333917.0,601336
75,2015-06-03,59.585,60.728,62.007,58.616,447864.0,601336
76,2015-06-04,60.282,62.782,63.267,57.163,510893.0,601336
77,2015-06-05,64.371,61.707,64.914,60.389,494980.0,601336
78,2015-06-08,61.455,67.878,67.878,61.048,853448.0,601336
79,2015-06-09,68.353,65.398,68.402,64.526,596748.0,601336
80,2015-06-10,64.332,64.013,65.524,63.47,375888.0,601336
81,2015-06-11,63.848,64.662,66.115,62.375,446149.0,601336
