,date,open,close,high,low,volume,code
0,2015-01-05,5.679,5.679,5.756,5.488,2111807.0,601169
1,2015-01-06,5.586,5.571,5.771,5.509,1842840.0,601169
2,2015-01-07,5.504,5.457,5.55,5.38,1489579.0,601169
3,2015-01-08,5.463,5.282,5.535,5.252,1161605.0,601169
4,2015-01-09,5.277,5.519,5.813,5.252,3229998.0,601169
5,2015-01-12,5.457,5.632,5.73,5.349,2582314.0,601169
6,2015-01-13,5.602,5.566,5.653,5.493,1139345.0,601169
7,2015-01-14,5.617,5.617,5.746,5.524,1352320.0,601169
8,2015-01-15,5.596,5.874,5.895,5.499,1863939.0,601169
9,2015-01-16,5.849,5.936,6.106,5.823,2291034.0,601169
10,2015-01-19,5.535,5.344,5.715,5.344,1820721.0,601169
11,2015-01-20,5.303,5.298,5.483,5.149,1960853.0,601169
12,2015-01-21,5.313,5.602,5.658,5.262,1722985.0,601169
13,2015-01-22,5.586,5.509,5.591,5.421,1333427.0,601169
14,2015-01-23,5.535,5.535,5.663,5.499,1332207.0,601169
15,2015-01-26,5.53,5.519,5.55,5.421,813210.0,601169
16,2015-01-27,5.524,5.375,5.54,5.303,1068306.0,601169
17,2015-01-28,5.318,5.308,5.427,5.267,833886.0,601169
18,2015-01-29,5.241,5.236,5.288,5.195,654166.0,601169
19,2015-01-30,5.324,5.339,5.432,5.241,1238439.0,601169
20,2015-02-02,5.2,5.169,5.272,5.154,741256.0,601169
21,2015-02-03,5.241,5.267,5.277,5.143,794433.0,601169
22,2015-02-04,5.277,5.169,5.303,5.159,641469.0,601169
23,2015-02-05,5.457,5.149,5.488,5.138,1875018.0,601169
24,2015-02-06,5.123,4.973,5.185,4.891,1015496.0,601169
25,2015-02-09,4.943,4.994,5.061,4.845,746364.0,601169
26,2015-02-10,4.984,5.076,5.087,4.963,586899.0,601169
27,2015-02-11,5.076,5.071,5.107,5.04,357625.0,601169
28,2015-02-12,5.2,5.149,5.226,5.107,723153.0,601169
29,2015-02-13,5.19,5.185,5.267,5.128,859940.0,601169
30,2015-02-16,5.185,5.185,5.2,5.128,485010.0,601169
31,2015-02-17,5.195,5.21,5.252,5.195,512824.0,601169
32,2015-02-25,5.21,5.2,5.267,5.143,841547.0,601169
33,2015-02-26,5.159,5.391,5.401,5.159,1145762.0,601169
34,2015-02-27,5.36,5.375,5.53,5.344,868358.0,601169
35,2015-03-02,5.401,5.38,5.411,5.329,778004.0,601169
36,2015-03-03,5.334,5.174,5.36,5.154,816030.0,601169
37,2015-03-04,5.21,5.159,5.221,5.118,583735.0,601169
38,2015-03-05,5.097,5.071,5.143,5.03,632353.0,601169
39,2015-03-06,5.071,5.092,5.154,5.071,482514.0,601169
40,2015-03-09,5.097,5.56,5.602,5.092,2690337.0,601169
41,2015-03-10,5.457,5.344,5.519,5.334,1794942.0,601169
42,2015-03-11,5.354,5.391,5.545,5.349,1175277.0,601169
43,2015-03-12,5.53,5.705,5.921,5.457,3119257.0,601169
44,2015-03-13,5.715,5.694,5.936,5.596,2210968.0,601169
45,2015-03-16,5.761,5.699,5.792,5.612,3052525.0,601169
46,2015-03-17,5.715,5.71,5.751,5.622,2476452.0,601169
47,2015-03-18,5.699,5.766,5.802,5.684,2158387.0,601169
48,2015-03-19,5.761,5.679,5.761,5.663,1414892.0,601169
49,2015-03-20,5.679,5.735,5.828,5.627,2025857.0,601169
50,2015-03-23,5.756,5.766,5.797,5.72,1811167.0,601169
51,2015-03-24,5.766,5.756,5.797,5.699,1758110.0,601169
52,2015-03-25,5.72,5.591,5.725,5.566,1448752.0,601169
53,2015-03-26,5.55,5.602,5.699,5.473,1753898.0,601169
54,2015-03-27,5.56,5.555,5.638,5.488,1532190.03,601169
55,2015-03-30,5.607,5.715,5.751,5.56,2550969.0,601169
56,2015-03-31,5.782,5.617,5.854,5.596,2625562.0,601169
57,2015-04-01,5.617,5.632,5.679,5.581,2032355.0,601169
58,2015-04-02,5.679,5.607,5.694,5.566,1510415.0,601169
59,2015-04-03,5.571,5.699,5.761,5.555,2180930.0,601169
60,2015-04-07,5.813,5.802,5.859,5.741,3651826.0,601169
61,2015-04-08,5.808,6.05,6.055,5.787,4663340.0,601169
62,2015-04-09,6.044,5.983,6.214,5.911,3703167.0,601169
63,2015-04-10,5.972,6.163,6.183,5.916,3581256.0,601169
64,2015-04-13,6.328,6.338,6.369,6.147,3345067.0,601169
65,2015-04-14,6.276,6.204,6.291,6.173,2307314.0,601169
66,2015-04-15,6.183,6.482,6.642,6.152,4519410.0,601169
67,2015-04-16,6.379,6.528,6.539,6.276,3513808.0,601169
68,2015-04-17,6.652,6.518,6.678,6.446,3244600.0,601169
69,2015-04-20,6.539,6.214,6.559,6.204,3753498.0,601169
70,2015-04-21,6.219,6.322,6.369,6.183,2127636.0,601169
71,2015-04-22,6.369,6.4,6.415,6.297,2650093.0,601169
72,2015-04-23,6.405,6.302,6.41,6.24,2562587.0,601169
73,2015-04-24,6.178,6.142,6.24,6.075,2118071.0,601169
74,2015-04-27,6.204,6.642,6.662,6.189,6584707.0,601169
75,2015-04-30,6.693,6.688,7.198,6.59,5725022.0,601169
76,2015-05-04,6.734,6.987,6.997,6.59,3968654.0,601169
77,2015-05-05,6.858,6.585,6.925,6.461,3049483.0,601169
78,2015-05-06,6.616,6.786,7.11,6.59,4142685.0,601169
79,2015-05-07,6.693,6.935,7.002,6.642,3362847.0,601169
80,2015-05-08,7.095,6.935,7.146,6.729,2766770.0,601169
81,2015-05-11,6.899,7.023,7.048,6.678,4198340.0,601169
82,2015-05-12,6.976,6.976,6.992,6.827,4472356.0,601169
83,2015-05-13,7.017,6.853,7.023,6.719,3719759.0,601169
84,2015-05-14,6.873,6.884,6.992,6.75,2894969.0,601169
85,2015-05-15,6.796,6.739,6.878,6.667,2219174.0,601169
86,2015-05-18,6.642,6.487,6.734,6.436,2564512.0,601169
87,2015-05-19,6.467,6.703,6.775,6.446,2327587.0,601169
88,2015-05-20,6.703,6.703,6.796,6.611,2559248.0,601169
89,2015-05-21,6.693,6.678,6.719,6.616,1615094.0,601169
90,2015-05-22,6.745,6.894,6.925,6.698,3341606.0,601169
91,2015-05-25,6.951,7.064,7.126,6.951,3363209.0,601169
92,2015-05-26,7.079,7.048,7.105,6.935,2661469.0,601169
93,2015-05-27,7.064,6.987,7.141,6.935,3423585.0,601169
94,2015-05-28,6.987,6.683,7.028,6.595,4135587.0,601169
95,2015-05-29,6.652,6.554,6.698,6.425,3500706.0,601169
96,2015-06-01,6.528,6.842,6.873,6.446,3958342.0,601169
97,2015-06-02,6.77,6.811,6.873,6.683,2643367.0,601169
98,2015-06-03,6.796,6.894,6.956,6.672,3904527.0,601169
99,2015-06-04,6.925,7.218,7.295,6.775,6536951.0,601169
100,2015-06-05,7.419,7.208,7.491,7.007,5177469.0,601169
101,2015-06-08,7.321,7.924,7.929,7.234,7234858.0,601169
