,date,open,close,high,low,volume,code
0,2015-01-05,8.772,9.297,9.418,8.702,910665.0,600690
1,2015-01-06,9.2,9.465,9.907,9.116,704043.0,600690
2,2015-01-07,9.46,9.302,9.46,9.2,375932.0,600690
3,2015-01-08,9.302,9.228,9.418,9.074,316442.0,600690
4,2015-01-09,9.242,9.116,9.479,9.07,392841.0,600690
5,2015-01-12,9.2,9.488,9.623,9.139,509777.0,600690
6,2015-01-13,9.535,9.753,9.897,9.479,458457.0,600690
7,2015-01-14,9.851,9.744,9.869,9.535,375877.0,600690
8,2015-01-15,9.674,9.758,9.804,9.442,232692.0,600690
9,2015-01-16,9.656,9.879,9.967,9.576,297048.0,600690
10,2015-01-19,9.465,9.014,9.697,8.893,550129.0,600690
11,2015-01-20,9.093,9.442,9.465,9.079,343491.0,600690
12,2015-01-21,9.511,9.59,9.623,9.358,310839.0,600690
13,2015-01-22,9.544,9.488,9.697,9.353,253437.0,600690
14,2015-01-23,9.483,9.386,9.581,9.311,241323.0,600690
15,2015-01-26,9.404,9.535,9.539,9.321,214316.0,600690
16,2015-01-27,9.535,9.558,9.623,9.283,247141.0,600690
17,2015-01-28,9.493,9.363,9.511,9.33,174789.0,600690
18,2015-01-29,9.265,9.204,9.325,9.163,165991.0,600690
19,2015-01-30,9.256,9.279,9.465,9.232,261200.0,600690
20,2015-02-02,9.107,9.153,9.353,9.051,172846.0,600690
21,2015-02-03,9.297,9.316,9.372,9.163,162119.0,600690
22,2015-02-04,9.372,9.46,9.581,9.307,259011.0,600690
23,2015-02-05,9.609,9.204,9.618,9.19,233379.0,600690
24,2015-02-06,9.176,8.907,9.293,8.888,180357.0,600690
25,2015-02-09,8.99,8.86,9.018,8.665,236404.0,600690
26,2015-02-10,8.944,9.218,9.251,8.86,160880.0,600690
27,2015-02-11,9.218,9.358,9.572,9.186,202804.0,600690
28,2015-02-12,9.442,9.367,9.497,9.283,199183.0,600690
29,2015-02-13,9.456,9.372,9.502,9.325,183909.0,600690
30,2015-02-16,9.386,9.469,9.479,9.307,292926.0,600690
31,2015-02-17,9.507,9.563,9.767,9.469,268061.0,600690
32,2015-02-25,9.563,9.525,9.618,9.409,245641.0,600690
33,2015-02-26,9.525,9.507,9.525,9.335,215400.0,600690
34,2015-02-27,9.488,9.507,9.539,9.386,170800.0,600690
35,2015-03-02,9.511,9.553,9.656,9.451,287729.0,600690
36,2015-03-03,9.516,9.349,9.618,9.325,287091.0,600690
37,2015-03-04,9.404,9.442,9.539,9.339,260958.0,600690
38,2015-03-05,9.381,9.223,9.381,9.135,257996.0,600690
39,2015-03-06,9.279,9.004,9.302,8.939,307989.0,600690
40,2015-03-09,8.93,9.153,9.232,8.874,351281.0,600690
41,2015-03-10,9.144,9.316,9.502,9.07,308234.0,600690
42,2015-03-11,9.442,10.246,10.246,9.442,587526.0,600690
43,2015-03-12,10.553,10.39,10.646,10.153,891092.0,600690
44,2015-03-13,10.372,10.604,11.107,10.372,540384.0,600690
45,2015-03-16,10.721,10.8,10.93,10.558,391680.0,600690
46,2015-03-17,10.744,10.842,11.028,10.651,476484.0,600690
47,2015-03-18,10.86,11.116,11.204,10.693,513327.0,600690
48,2015-03-19,11.116,10.781,11.116,10.642,534529.0,600690
49,2015-03-20,10.776,10.693,10.795,10.576,400152.0,600690
50,2015-03-23,10.693,10.832,10.981,10.693,406072.0,600690
51,2015-03-24,10.93,11.158,11.162,10.558,589336.0,600690
52,2015-03-25,11.065,11.409,11.562,10.911,680386.0,600690
53,2015-03-26,11.348,10.972,11.353,10.911,433526.0,600690
