,date,open,close,high,low,volume,code
0,2015-01-05,12.204,12.67,12.999,12.204,504099.0,600606
1,2015-01-06,12.451,12.67,13.291,12.232,284053.0,600606
2,2015-01-07,12.341,13.94,13.94,12.341,417393.0,600606
3,2015-01-08,13.885,13.639,14.123,13.364,259354.0,600606
4,2015-01-09,13.538,13.401,13.913,13.282,202027.0,600606
5,2015-01-12,13.246,12.688,13.246,12.469,136854.0,600606
6,2015-01-13,12.67,13.73,13.894,12.67,237081.0,600606
7,2015-01-14,13.73,13.227,13.794,13.045,103846.0,600606
8,2015-01-15,13.383,13.31,13.84,13.054,143855.0,600606
9,2015-01-16,13.227,13.492,13.867,12.643,174905.0,600606
10,2015-01-19,12.88,12.14,13.191,12.14,210950.0,600606
11,2015-01-20,12.003,12.478,12.752,12.003,131385.0,600606
12,2015-01-21,12.561,13.301,13.456,12.424,174278.0,600606
13,2015-01-22,13.739,14.634,14.634,13.73,252670.0,600606
14,2015-01-23,15.42,14.598,15.42,14.196,258849.0,600606
15,2015-01-26,14.525,16.059,16.059,14.15,287630.0,600606
16,2015-01-27,15.712,16.361,16.945,15.438,327689.0,600606
17,2015-01-28,16.196,15.767,16.881,15.584,230538.0,600606
18,2015-01-29,15.548,15.456,15.986,15.255,130058.0,600606
19,2015-01-30,15.466,15.566,15.922,15.036,138589.0,600606
20,2015-02-02,15.091,15.593,15.867,14.707,119204.0,600606
21,2015-02-03,15.666,15.447,15.977,15.164,121842.0,600606
22,2015-02-04,15.493,15.904,15.968,15.438,128181.0,600606
23,2015-02-05,16.397,15.931,16.534,15.721,195341.0,600606
24,2015-02-06,15.676,15.411,15.877,15.219,98882.0,600606
25,2015-02-09,15.073,14.753,15.365,14.625,110624.0,600606
26,2015-02-10,14.835,14.744,15.054,14.388,98572.0,600606
27,2015-02-11,14.817,14.936,14.963,14.442,100423.0,600606
28,2015-02-12,14.927,14.844,15.091,14.753,75595.0,600606
29,2015-02-13,15.21,15.895,15.941,14.936,156006.0,600606
30,2015-02-16,16.032,15.657,16.123,15.621,102903.0,600606
31,2015-02-17,15.849,16.525,16.9,15.676,166376.0,600606
32,2015-02-25,16.443,16.525,16.799,16.196,100504.0,600606
33,2015-02-26,16.607,16.662,16.744,16.215,94645.0,600606
34,2015-02-27,16.662,16.744,17.265,16.525,125856.0,600606
35,2015-03-02,17.183,16.434,17.265,16.251,165021.0,600606
36,2015-03-03,16.215,15.794,16.416,15.712,163365.0,600606
37,2015-03-04,15.813,15.941,16.041,15.758,89089.0,600606
38,2015-03-05,15.858,15.877,16.059,15.621,95895.0,600606
39,2015-03-06,15.941,15.931,15.977,15.593,75042.0,600606
40,2015-03-09,15.895,16.096,16.16,15.694,78593.0,600606
41,2015-03-10,15.804,15.603,15.886,15.539,139135.0,600606
42,2015-03-11,15.603,15.347,15.785,15.219,110542.0,600606
43,2015-03-12,15.429,15.685,15.895,15.255,118606.0,600606
44,2015-03-13,15.685,15.466,15.721,15.347,99555.0,600606
45,2015-03-16,15.539,15.84,15.877,15.438,130157.0,600606
46,2015-03-17,15.95,16.151,16.215,15.74,156567.0,600606
47,2015-03-18,16.352,16.571,16.9,16.251,198735.0,600606
48,2015-03-19,16.69,16.324,16.799,16.196,167991.0,600606
49,2015-03-20,16.224,16.617,16.854,16.196,160355.0,600606
50,2015-03-23,16.699,16.772,16.854,16.571,171945.0,600606
51,2015-03-24,16.717,16.352,16.772,16.032,185679.0,600606
52,2015-03-25,16.37,15.986,16.37,15.968,180548.0,600606
53,2015-03-26,15.877,15.877,15.959,15.621,141649.0,600606
54,2015-03-27,15.986,16.078,16.361,15.867,134051.37,600606
55,2015-03-30,16.26,17.247,17.448,16.078,343580.0,600606
56,2015-03-31,17.484,16.69,17.585,16.626,297688.0,600606
57,2015-04-01,16.507,16.754,16.854,16.315,134867.0,600606
58,2015-04-02,17.448,17.238,17.722,16.945,247313.0,600606
59,2015-04-03,17.0,18.964,18.964,16.936,298170.0,600606
60,2015-04-07,19.384,20.097,20.828,18.909,332617.0,600606
61,2015-04-08,20.097,21.924,22.107,19.01,339759.0,600606
62,2015-04-09,21.787,23.029,23.724,20.928,342756.0,600606
63,2015-04-10,23.02,23.212,24.071,22.381,216015.0,600606
64,2015-04-13,23.212,23.02,23.34,22.609,176468.0,600606
65,2015-04-14,23.066,23.568,24.052,22.837,195058.0,600606
66,2015-04-15,23.568,22.125,23.568,22.107,179280.0,600606
67,2015-04-24,24.336,24.336,24.336,24.336,5228.0,600606
68,2015-04-27,26.765,26.765,26.765,25.861,243853.0,600606
69,2015-04-28,29.232,29.442,29.442,27.588,174960.0,600606
70,2015-04-29,32.329,32.383,32.383,31.972,103484.0,600606
71,2015-05-04,35.626,35.626,35.626,35.626,15694.0,600606
72,2015-05-05,39.189,32.064,39.189,32.064,621468.0,600606
73,2015-05-06,30.145,29.451,31.963,29.031,434835.0,600606
74,2015-05-07,29.689,27.853,30.812,27.679,304816.0,600606
75,2015-05-08,28.574,29.378,29.616,27.597,300032.0,600606
76,2015-05-11,30.145,29.926,30.31,29.278,255144.0,600606
77,2015-05-12,30.584,29.552,30.584,29.241,235036.0,600606
78,2015-05-13,29.131,32.511,32.511,28.41,425644.0,600606
79,2015-05-14,32.95,31.552,32.959,31.516,329827.0,600606
80,2015-05-15,30.648,30.831,32.767,29.296,251299.0,600606
