,date,open,close,high,low,volume,code
0,2015-01-05,14.535,14.57,14.751,14.095,5284038.0,601166
1,2015-01-06,14.336,14.673,15.105,14.241,4792609.0,601166
2,2015-01-07,14.492,14.345,14.708,13.991,3793157.0,601166
3,2015-01-08,14.345,13.741,14.388,13.68,3248582.0,601166
4,2015-01-09,13.689,13.974,14.837,13.499,4969504.0,601166
5,2015-01-12,13.956,13.844,14.224,13.516,3103271.0,601166
6,2015-01-13,13.775,13.723,13.948,13.602,2031267.0,601166
7,2015-01-14,13.775,13.965,14.164,13.766,2639648.0,601166
8,2015-01-15,13.956,14.552,14.578,13.818,3116911.0,601166
9,2015-01-16,14.336,14.501,14.768,14.259,5081287.0,601166
10,2015-01-19,13.127,13.05,13.637,13.05,4177998.0,601166
11,2015-01-20,12.963,12.842,13.205,12.523,4436135.0,601166
12,2015-01-21,12.92,13.481,13.568,12.816,3893440.0,601166
13,2015-01-22,13.438,13.317,13.473,13.153,2415136.0,601166
14,2015-01-23,13.395,13.343,13.689,13.266,2649964.0,601166
15,2015-01-26,13.309,13.196,13.456,13.041,2359536.0,601166
16,2015-01-27,13.231,12.868,13.274,12.652,2965809.0,601166
17,2015-01-28,12.756,12.756,12.972,12.609,2204253.0,601166
18,2015-01-29,12.54,12.471,12.661,12.393,2348581.0,601166
19,2015-01-30,12.601,12.497,12.713,12.367,2002238.0,601166
20,2015-02-02,12.177,12.126,12.333,12.117,1871192.0,601166
21,2015-02-03,12.307,12.436,12.48,12.082,2120599.0,601166
22,2015-02-04,12.454,12.186,12.575,12.177,1777663.0,601166
23,2015-02-05,12.834,12.203,12.834,12.186,3796128.0,601166
24,2015-02-06,12.117,12.134,12.307,12.031,2001388.0,601166
25,2015-02-09,12.134,12.195,12.359,11.892,2288438.0,601166
26,2015-02-10,12.186,12.411,12.471,12.126,1990065.0,601166
27,2015-02-11,12.333,12.359,12.514,12.29,1539887.0,601166
28,2015-02-12,12.134,12.134,12.238,11.953,3552963.0,601166
29,2015-02-13,12.203,12.195,12.385,12.117,3266605.0,601166
30,2015-02-16,12.229,12.151,12.238,12.074,2202913.0,601166
31,2015-02-17,12.16,12.186,12.281,12.16,1962416.0,601166
32,2015-02-25,12.212,12.056,12.221,12.013,1881110.0,601166
33,2015-02-26,12.039,12.324,12.341,11.97,2437245.0,601166
34,2015-02-27,12.316,12.298,12.462,12.272,2205349.0,601166
35,2015-03-02,12.359,12.324,12.402,12.203,2677547.0,601166
36,2015-03-03,12.29,11.996,12.29,11.987,2628817.0,601166
37,2015-03-04,12.005,11.927,12.065,11.884,1850371.0,601166
38,2015-03-05,11.892,11.625,11.901,11.556,2711450.0,601166
39,2015-03-06,11.625,11.685,11.763,11.625,1443792.0,601166
40,2015-03-09,11.711,12.704,12.851,11.556,8256769.0,601166
41,2015-03-10,12.531,12.307,12.575,12.272,5420430.0,601166
42,2015-03-11,12.393,12.583,12.834,12.393,5055778.0,601166
43,2015-03-12,13.386,13.792,13.844,13.127,13572221.0,601166
44,2015-03-13,13.784,14.241,14.863,13.689,10432043.0,601166
45,2015-03-16,14.336,14.734,14.76,14.0,6550657.0,601166
46,2015-03-17,14.768,14.725,14.941,14.406,5362231.0,601166
47,2015-03-18,14.76,14.786,14.811,14.509,4597229.0,601166
48,2015-03-19,14.924,14.811,15.209,14.699,5149104.0,601166
49,2015-03-20,14.811,14.725,15.122,14.345,5821646.0,601166
50,2015-03-23,14.855,15.226,15.442,14.855,5805085.0,601166
51,2015-03-24,15.114,14.941,15.217,14.716,4216026.0,601166
52,2015-03-25,14.803,14.44,15.105,14.371,4326916.0,601166
53,2015-03-26,14.328,14.708,14.993,14.043,4183249.0,601166
54,2015-03-27,14.682,14.682,14.924,14.388,3355004.41,601166
55,2015-03-30,15.122,15.977,16.15,14.941,6366519.0,601166
56,2015-03-31,16.357,15.856,16.824,15.571,5046748.0,601166
57,2015-04-01,15.718,15.882,16.202,15.554,3126045.0,601166
58,2015-04-02,15.943,15.649,15.951,15.312,3910940.0,601166
59,2015-04-03,15.632,16.107,16.133,15.546,3877943.0,601166
60,2015-04-07,16.565,17.092,17.402,16.487,5280032.0,601166
61,2015-04-08,17.057,17.679,17.705,16.876,4993785.0,601166
62,2015-04-09,17.644,17.126,18.387,16.945,4932831.0,601166
63,2015-04-10,17.126,17.61,17.757,17.048,3682503.0,601166
64,2015-04-13,18.266,17.869,18.499,17.687,4045164.0,601166
65,2015-04-14,17.782,17.42,17.817,17.273,2979746.0,601166
66,2015-04-15,17.273,17.316,17.705,17.005,3551872.0,601166
67,2015-04-16,17.152,17.739,17.757,17.014,3458382.0,601166
68,2015-04-17,18.137,17.757,18.396,17.722,4054759.0,601166
69,2015-04-20,18.05,16.807,18.137,16.625,6045405.0,601166
70,2015-04-21,16.737,17.057,17.109,16.556,3689782.0,601166
71,2015-04-22,17.169,17.877,17.921,16.927,4832326.0,601166
72,2015-04-23,17.947,17.402,18.05,17.273,4361273.0,601166
73,2015-04-24,17.1,16.703,17.143,16.314,5977003.0,601166
74,2015-04-27,16.884,16.953,17.083,16.694,4087516.0,601166
75,2015-04-28,17.057,17.212,18.102,16.979,7086921.0,601166
76,2015-04-29,17.022,17.066,17.273,16.824,2837943.0,601166
77,2015-04-30,17.074,16.763,17.307,16.729,3102906.0,601166
78,2015-05-04,16.677,16.513,16.677,16.332,2637336.0,601166
79,2015-05-05,16.522,15.623,16.522,15.52,4338807.0,601166
80,2015-05-06,15.761,15.606,16.15,15.373,4039935.0,601166
81,2015-05-07,15.632,15.615,15.753,15.451,2251479.0,601166
82,2015-05-08,15.856,15.649,15.891,15.373,2719623.0,601166
83,2015-05-11,15.649,16.142,16.185,15.373,4516589.0,601166
84,2015-05-12,16.15,16.237,16.366,15.839,3525094.0,601166
85,2015-05-13,16.323,15.865,16.34,15.701,3171254.0,601166
86,2015-05-14,15.632,15.589,15.831,15.485,5604395.0,601166
87,2015-05-15,15.589,15.459,15.753,15.243,3670504.0,601166
88,2015-05-18,15.476,15.33,15.632,15.304,2783134.0,601166
89,2015-05-19,15.304,16.038,16.193,15.252,5624547.0,601166
90,2015-05-20,16.038,16.064,16.375,15.848,4947465.0,601166
91,2015-05-21,16.107,16.098,16.211,15.934,3163050.0,601166
